ID,国家名称,所属洲,现存确诊,可疑人数,累计确诊,死亡人数,治愈人数,确认计数等级,病死率排序,死亡率,历史记录
4804769,东帝汶,亚洲,25,0,25,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0322/192/3403423200980673679-135.json
4804786,格林那达,北美洲,24,0,24,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0324/601/3403794292597755143-135.json
4804767,新喀里多尼亚,大洋洲,22,0,22,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0321/445/3403237656246202288-135.json
4804788,老挝,亚洲,20,0,20,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0325/227/3403979839479981624-135.json
4804790,多米尼克,北美洲,18,0,18,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0325/162/3403979839479547471-135.json
4804795,圣其茨和尼维斯,北美洲,17,0,17,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0327/418/3404350922506635659-135.json
4804696,格陵兰,北美洲,14,0,14,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0320/865/3403052100773836376-135.json
4804822,荷兰加勒比地区,南美洲,13,0,13,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0405/351/3406020801496170129-135.json
4804824,福克兰群岛,南美洲,13,0,13,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0406/989/3406206348378627968-135.json
4804778,蒙特塞拉特,北美洲,12,0,13,1,0,0,0,7.69,https://file1.dxycdn.com/2020/0323/017/3403608739273213039-135.json
4804431,梵蒂冈,欧洲,12,0,12,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0315/719/3402160489185554691-135.json
4804733,毛里求斯,非洲,9,0,344,10,325,168,71,2.90,https://file1.dxycdn.com/2020/0320/751/3403052105069099803-135.json
4804701,圣巴泰勒米岛,北美洲,9,0,9,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0317/743/3402535562237228754-135.json
4804492,文莱,亚洲,7,0,141,3,131,183,97,2.12,https://file1.dxycdn.com/2020/0315/199/3402160540725164222-135.json
4804812,英属维尔京群岛,北美洲,7,0,8,1,0,0,0,12.50,https://file1.dxycdn.com/2020/0328/125/3404536465093935059-135.json
4804827,圣皮埃尔和密克隆群岛,北美洲,4,0,4,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0409/335/3406762986877325512-135.json
4804351,列支敦士登,欧洲,3,0,89,1,85,0,0,1.12,https://file1.dxycdn.com/2020/0315/312/3402160514955359362-135.json
4804811,安圭拉,北美洲,3,0,3,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0328/700/3404536465093591382-135.json
